Player,Pos,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
"Allen, Marcus",RB,2,6,12,104,222,12,27,282,6,1,3022,12243,123,61,587,5411,21,92
Elvin Bethea\BethEl00,DE,0,8,13,74,210,,,,,,,,,,,,,
Joe DeLamielleure\DeLaJo01,G,3,6,12,87,185,,,,,,,,,,,,,
"Lofton, James",WR,1,8,14,102,233,1,5,43,0,0,32,246,1,83,764,14004,75,80
Dave Casper\CaspDa00,TE,4,5,6,52,147,0,1,0,0,0,6,27,0,8,378,5216,52,52
Dan Hampton\HampDa01,DE,1,4,11,102,157,,,,,,,,,,,,,
"Kelly, Jim",QB,1,5,11,103,160,2874,4779,35467,237,175,304,1049,7,24,2,40,0,35
"Stallworth, John",WR,1,3,10,81,165,,,,,,9,111,1,47,537,8723,63,74
Nick Buoniconti\BuonNi00,LB,5,8,13,104,183,,,,,,,,,,,,,
Mike Munchak\MuncMi00,G,2,9,11,93,159,,,,,,,,,,,,,
Jackie Slater\SlatJa00,T,0,7,13,88,259,,,,,,,,,,,,,
"Swann, Lynn",WR,1,3,8,62,116,,,,,,11,72,1,25,336,5462,51,68
Ron Yary\YaryRo00,T,6,7,12,104,207,,,,,,,,,,1,5,0,5
Jack Youngblood\YounJa00,DE,5,7,13,112,202,,,,,,,,,,,,,
Howie Long\LongHo00,DE,2,8,11,95,179,,,,,,,,,,,,,
Ronnie Lott\LottRo00,DB,6,10,14,123,192,,,,,,,,,,,,,
"Montana, Joe",QB,3,8,12,125,192,3409,5391,40551,273,139,457,1676,20,21,,,,
Dave Wilcox\WilcDa00,LB,2,7,11,74,153,,,,,,,,,,,,,
"Dickerson, Eric",RB,5,6,10,92,146,1,2,15,1,1,2996,13259,90,85,281,2137,6,50
Tom Mack\MackTo00,G,1,11,13,91,184,,,,,,,,,,,,,
Ozzie Newsome\NewsOz00,TE,1,3,13,59,198,,,,,,18,135,2,33,662,7980,47,74
Billy Shaw\ShawBi00,G,5,8,9,60,119,,,,,,,,,,,,,
Lawrence Taylor\TaylLa00,LB,8,10,13,146,184,,,,,,,,,,,,,
Paul Krause\KrauPa00,DB,3,8,15,119,226,1,2,11,1,0,1,0,0,0,2,17,0,13
Tommy McDonald\McDoTo00,FL,0,6,9,63,152,2,2,21,1,0,17,22,0,22,495,8410,84,91
Anthony Munoz\MunoAn00,T,9,11,12,138,185,,,,,,,,,,7,18,4,12
Mike Singletary\SingMi00,LB,7,10,12,124,179,,,,,,,,,,,,,
Dwight Stephenson\StepDw00,C,4,5,6,80,114,,,,,,,,,,,,,
Mike Haynes\HaynMi01,DB,2,9,12,109,177,,,,,,,,,,,,,
Mike Webster\WebsMi00,C,5,9,14,114,245,,,,,,,,,,,,,
Lou Creekmur\CreeLo00,T,6,8,9,0,116,,,,,,,,,,,,,
Dan Dierdorf\DierDa00,T,3,6,10,82,160,,,,,,,,,,,,,
"Joiner, Charlie",WR,1,3,15,92,239,0,1,0,0,0,8,22,0,9,750,12146,65,87
Mel Renfro\RenfMe00,DB,1,10,13,100,174,,,,,,8,52,0,27,4,65,0,42
Henry Jordan\JordHe00,DT,5,4,10,95,163,,,,,,,,,,,,,
"Largent, Steve",WR,1,7,14,103,200,2,7,29,0,0,17,83,1,21,819,13089,100,74
Lee Roy Selmon\SelmLe00,DE,1,6,9,78,121,,,,,,,,,,,,,
Kellen Winslow\WinsKe00,TE,3,5,7,63,109,0,3,0,0,0,,,,,541,6741,45,67
"Dorsett, Tony",RB,1,4,11,107,173,2,8,41,1,1,2936,12739,77,99,398,3554,13,91
Jimmy Johnson\JohnJi01,DB,4,5,16,103,213,,,,,,,,,,40,690,4,80
